,Dates,Home_teams,Score,Away_team
471,17-03-2023,Nott'm Forest,1 - 2,Newcastle
472,01-04-2023,Nott'm Forest,1 - 1,Wolves
473,16-04-2023,Nott'm Forest,? - ?,Man United
474,06-08-2022,Newcastle,2 - 0,Nott'm Forest
475,20-08-2022,Everton,1 - 1,Nott'm Forest
476,31-08-2022,Man City,6 - 0,Nott'm Forest
477,03-10-2022,Leicester,4 - 0,Nott'm Forest
478,15-10-2022,Wolves,1 - 0,Nott'm Forest
479,18-10-2022,Brighton,0 - 0,Nott'm Forest
480,30-10-2022,Arsenal,5 - 0,Nott'm Forest
481,27-12-2022,Man United,3 - 0,Nott'm Forest
482,04-01-2023,Southampton,0 - 1,Nott'm Forest
483,21-01-2023,Bournemouth,1 - 1,Nott'm Forest
484,11-02-2023,Fulham,2 - 0,Nott'm Forest
485,25-02-2023,West Ham,4 - 0,Nott'm Forest
486,11-03-2023,Tottenham,3 - 1,Nott'm Forest
487,04-04-2023,Leeds,2 - 1,Nott'm Forest
488,08-04-2023,Aston Villa,2 - 0,Nott'm Forest
489,13-08-2022,Southampton,2 - 2,Leeds
490,27-08-2022,Southampton,0 - 1,Man United
491,30-08-2022,Southampton,2 - 1,Chelsea
492,01-10-2022,Southampton,1 - 2,Everton
493,16-10-2022,Southampton,1 - 1,West Ham
494,23-10-2022,Southampton,1 - 1,Arsenal
495,06-11-2022,Southampton,1 - 4,Newcastle
496,26-12-2022,Southampton,1 - 3,Brighton
497,04-01-2023,Southampton,0 - 1,Nott'm Forest
498,21-01-2023,Southampton,0 - 1,Aston Villa
499,11-02-2023,Southampton,1 - 2,Wolves
500,04-03-2023,Southampton,1 - 0,Leicester
501,15-03-2023,Southampton,0 - 2,Brentford
502,18-03-2023,Southampton,3 - 3,Tottenham
503,08-04-2023,Southampton,1 - 4,Man City
504,15-04-2023,Southampton,? - ?,Crystal Palace
505,06-08-2022,Tottenham,4 - 1,Southampton
506,20-08-2022,Leicester,1 - 2,Southampton
507,03-09-2022,Wolves,1 - 0,Southampton
508,16-09-2022,Aston Villa,1 - 0,Southampton
509,08-10-2022,Man City,4 - 0,Southampton
510,19-10-2022,Bournemouth,0 - 1,Southampton
511,29-10-2022,Crystal Palace,1 - 0,Southampton
512,12-11-2022,Liverpool,3 - 1,Southampton
513,31-12-2022,Fulham,2 - 1,Southampton
514,14-01-2023,Everton,1 - 2,Southampton
515,04-02-2023,Brentford,3 - 0,Southampton
516,18-02-2023,Chelsea,0 - 1,Southampton
517,25-02-2023,Leeds,1 - 0,Southampton
518,12-03-2023,Man United,0 - 0,Southampton
519,02-04-2023,West Ham,1 - 0,Southampton
520,06-08-2022,Tottenham,4 - 1,Southampton
521,20-08-2022,Tottenham,1 - 0,Wolves
522,03-09-2022,Tottenham,2 - 1,Fulham
523,17-09-2022,Tottenham,6 - 2,Leicester
524,15-10-2022,Tottenham,2 - 0,Everton
525,23-10-2022,Tottenham,1 - 2,Newcastle
526,06-11-2022,Tottenham,1 - 2,Liverpool
